Region,Indicator,Measure type,Indicator segment,Segment value,Time scale,Time frame,Metric,Main metric,Metric value,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Refresh date
Northern Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2016/2017,Risk-adjusted rate,Yes,4.7,Per 100,4.34,4.98,2025-10-07
Northern Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2020/2021,Risk-adjusted rate,Yes,4.6,Per 100,4.28,4.93,2025-10-07
Interior Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2021/2022,Risk-adjusted rate,Yes,4.3,Per 100,4.17,4.51,2025-10-07
Interior Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2018/2019,Risk-adjusted rate,Yes,4.3,Per 100,4.17,4.5,2025-10-07
Interior Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2016/2017,Risk-adjusted rate,Yes,4.3,Per 100,4.15,4.49,2025-10-07
Interior Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2022/2023,Risk-adjusted rate,Yes,4.3,Per 100,4.13,4.46,2025-10-07
Island Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2024/2025,Risk-adjusted rate,Yes,4.3,Per 100,4.12,4.46,2025-10-07
Northern Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2022/2023,Risk-adjusted rate,Yes,4.4,Per 100,4.12,4.74,2025-10-07
Northern Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2021/2022,Risk-adjusted rate,Yes,4.4,Per 100,4.07,4.68,2025-10-07
Island Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2023/2024,Risk-adjusted rate,Yes,4.2,Per 100,4.05,4.38,2025-10-07
Island Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2019/2020,Risk-adjusted rate,Yes,4.2,Per 100,4.04,4.37,2025-10-07
Island Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2021/2022,Risk-adjusted rate,Yes,4.2,Per 100,4.04,4.37,2025-10-07
Island Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2022/2023,Risk-adjusted rate,Yes,4.2,Per 100,4.04,4.37,2025-10-07
