Name,Area Type,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,2011-12 Changes,2012-13 Changes,2013-14 Changes,2014-15 Changes,2015-16 Changes,2016-17 Changes,2017-18 Changes,2018-19 Changes,2019-20 Changes,2020-21 Changes,2021-22 Changes,2022-23 Changes,2023-24 Changes,2024-25 Changes
Sechelt District Municipality,DM,"9,368","9,539","9,588","9,824","10,102","10,511","10,670","10,826","10,871","11,074","11,145","11,369","11,321","11,470","11,558",,1.80%,0.50%,2.50%,2.80%,4.00%,1.50%,1.50%,0.40%,1.90%,0.60%,2.00%,-0.40%,1.30%,0.80%
Williams Lake,CY,"11,027","11,100","11,119","11,257","11,236","11,176","11,141","11,284","11,385","11,323","11,437","11,325","11,427","11,342","11,462",,0.70%,0.20%,1.20%,-0.20%,-0.50%,-0.30%,1.30%,0.90%,-0.50%,1.00%,-1.00%,0.90%,-0.70%,1.10%
Coldstream,DM,"10,463","10,640","10,636","10,766","10,908","11,056","11,220","11,237","11,311","11,413","11,576","11,585","11,624","11,452","11,380",,1.70%,0.00%,1.20%,1.30%,1.40%,1.50%,0.20%,0.70%,0.90%,1.40%,0.10%,0.30%,-1.50%,-0.60%
Quesnel,CY,"10,212","10,150","10,131","10,047","10,102","10,294","10,275","10,358","10,394","10,352","10,265","10,085","10,160","10,251","10,253",,-0.60%,-0.20%,-0.80%,0.50%,1.90%,-0.20%,0.80%,0.30%,-0.40%,-0.80%,-1.80%,0.70%,0.90%,0.00%
Kitimat,DM,"8,452","8,358","8,501","8,561","8,475","8,483","8,447","8,386","8,401","8,479","8,603","8,593","8,927","9,146","10,019",,-1.10%,1.70%,0.70%,-1.00%,0.10%,-0.40%,-0.70%,0.20%,0.90%,1.50%,-0.10%,3.90%,2.50%,9.50%
Ladysmith,T,"8,019","8,133","8,310","8,498","8,623","8,846","8,954","8,965","9,134","9,163","9,291","9,467","9,614","9,764","9,926",,1.40%,2.20%,2.30%,1.50%,2.60%,1.20%,0.10%,1.90%,0.30%,1.40%,1.90%,1.60%,1.60%,1.70%
Qualicum Beach,T,"8,699","8,683","8,760","8,787","8,888","9,115","9,193","9,198","9,253","9,322","9,453","9,585","9,566","9,590","9,640",,-0.20%,0.90%,0.30%,1.10%,2.60%,0.90%,0.10%,0.60%,0.70%,1.40%,1.40%,-0.20%,0.30%,0.50%
Castlegar,CY,"7,974","7,901","7,891","8,053","8,214","8,361","8,382","8,487","8,592","8,603","8,661","8,922","9,004","9,230","9,465",,-0.90%,-0.10%,2.10%,2.00%,1.80%,0.30%,1.30%,1.20%,0.10%,0.70%,3.00%,0.90%,2.50%,2.50%
Revelstoke,CY,"7,328","7,332","7,416","7,494","7,630","7,953","8,066","8,233","8,598","8,680","8,696","8,704","8,889","9,358","9,464",,0.10%,1.10%,1.10%,1.80%,4.20%,1.40%,2.10%,4.40%,1.00%,0.20%,0.10%,2.10%,5.30%,1.10%
Kimberley,CY,"6,778","6,950","7,135","7,352","7,512","7,733","7,800","8,001","8,091","8,246","8,422","8,631","8,794","8,938","9,037",,2.50%,2.70%,3.00%,2.20%,2.90%,0.90%,2.60%,1.10%,1.90%,2.10%,2.50%,1.90%,1.60%,1.10%
Trail,CY,"7,732","7,752","7,744","7,777","7,780","7,950","8,030","8,134","8,179","8,256","8,209","8,291","8,346","8,442","8,539",,0.30%,-0.10%,0.40%,0.00%,2.20%,1.00%,1.30%,0.60%,0.90%,-0.60%,1.00%,0.70%,1.20%,1.10%
Merritt,CY,"7,246","7,206","7,395","7,371","7,374","7,394","7,383","7,441","7,525","7,389","7,330","7,270","7,247","7,310","7,190",,-0.60%,2.60%,-0.30%,0.00%,0.30%,-0.10%,0.80%,1.10%,-1.80%,-0.80%,-0.80%,-0.30%,0.90%,-1.60%
Hope,DM,"6,051","6,015","6,071","6,142","6,272","6,394","6,417","6,594","6,795","6,747","6,911","6,988","6,711","7,059","7,183",,-0.60%,0.90%,1.20%,2.10%,1.90%,0.40%,2.80%,3.00%,-0.70%,2.40%,1.10%,-4.00%,5.20%,1.80%
Kent,DM,"5,768","5,867","5,878","6,014","6,055","6,361","6,456","6,598","6,602","6,616","6,540","6,918","6,850","7,213","7,093",,1.70%,0.20%,2.30%,0.70%,5.10%,1.50%,2.20%,0.10%,0.20%,-1.10%,5.80%,-1.00%,5.30%,-1.70%
Fernie,CY,"4,831","4,954","5,107","5,282","5,458","5,664","5,834","6,036","6,266","6,446","6,623","6,621","6,722","6,927","7,086",,2.50%,3.10%,3.40%,3.30%,3.80%,3.00%,3.50%,3.80%,2.90%,2.70%,0.00%,1.50%,3.00%,2.30%
Peachland,DM,"5,271","5,179","5,236","5,333","5,505","5,599","5,605","5,648","5,695","5,840","5,953","6,103","6,145","6,173","6,302",,-1.70%,1.10%,1.90%,3.20%,1.70%,0.10%,0.80%,0.80%,2.50%,1.90%,2.50%,0.70%,0.50%,2.10%
Creston,T,"5,359","5,340","5,290","5,352","5,407","5,528","5,578","5,623","5,649","5,713","5,733","5,873","6,002","6,054","5,976",,-0.40%,-0.90%,1.20%,1.00%,2.20%,0.90%,0.80%,0.50%,1.10%,0.40%,2.40%,2.20%,0.90%,-1.30%
Spallumcheen,DM,"5,113","5,133","5,181","5,189","5,179","5,302","5,467","5,420","5,474","5,432","5,490","5,713","5,780","5,819","5,843",,0.40%,0.90%,0.20%,-0.20%,2.40%,3.10%,-0.90%,1.00%,-0.80%,1.10%,4.10%,1.20%,0.70%,0.40%
Duncan,CY,"5,002","4,880","4,950","4,897","4,949","5,120","5,143","5,158","5,216","5,266","5,184","5,365","5,574","5,591","5,745",,-2.40%,1.40%,-1.10%,1.10%,3.50%,0.40%,0.30%,1.10%,1.00%,-1.60%,3.50%,3.90%,0.30%,2.80%
Osoyoos,T,"4,876","4,837","4,851","4,958","5,041","5,182","5,294","5,410","5,520","5,606","5,690","5,726","5,723","5,715","5,724",,-0.80%,0.30%,2.20%,1.70%,2.80%,2.20%,2.20%,2.00%,1.60%,1.50%,0.60%,-0.10%,-0.10%,0.20%
Armstrong,CY,"4,907","4,962","5,004","5,100","5,182","5,300","5,235","5,413","5,446","5,422","5,499","5,658","5,662","5,619","5,643",,1.10%,0.80%,1.90%,1.60%,2.30%,-1.20%,3.40%,0.60%,-0.40%,1.40%,2.90%,0.10%,-0.80%,0.40%
Smithers,T,"5,501","5,550","5,551","5,565","5,574","5,622","5,579","5,599","5,624","5,623","5,620","5,617","5,645","5,637","5,627",,0.90%,0.00%,0.30%,0.20%,0.90%,-0.80%,0.40%,0.40%,0.00%,-0.10%,-0.10%,0.50%,-0.10%,-0.20%
Oliver,T,"4,868","4,810","4,806","4,894","4,960","5,042","5,253","5,222","5,353","5,270","5,231","5,265","5,262","5,254","5,262",,-1.20%,-0.10%,1.80%,1.30%,1.70%,4.20%,-0.60%,2.50%,-1.60%,-0.70%,0.60%,-0.10%,-0.20%,0.20%
Metchosin,DM,"4,866","4,928","4,927","4,890","4,840","4,901","5,031","5,196","5,229","5,203","5,252","5,329","5,309","5,336","5,207",,1.30%,0.00%,-0.80%,-1.00%,1.30%,2.70%,3.30%,0.60%,-0.50%,0.90%,1.50%,-0.40%,0.50%,-2.40%
Gibsons,T,"4,502","4,489","4,546","4,698","4,687","4,743","4,832","4,891","4,843","4,877","4,909","4,860","4,948","5,111","5,090",,-0.30%,1.30%,3.30%,-0.20%,1.20%,1.90%,1.20%,-1.00%,0.70%,0.70%,-1.00%,1.80%,3.30%,-0.40%
